ATL$June$2003$216$11$5843$30060$23974$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$June$2003$138$14$1623$9639$7875$Boston, MA: Logan International
BWI$June$2003$29$11$1245$8287$6998$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$June$2003$73$11$1562$8670$7021$Charlotte, NC: Charlotte Douglas International
DCA$June$2003$74$13$1100$6513$5321$Washington, DC: Ronald Reagan Washington National
DEN$June$2003$34$13$1611$11691$10024$Denver, CO: Denver International
DFW$June$2003$394$13$4798$27628$22303$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$June$2003$123$11$1395$11754$10227$Detroit, MI: Detroit Metro Wayne County
EWR$June$2003$102$13$2921$12506$9441$Newark, NJ: Newark Liberty International
FLL$June$2003$13$11$967$4662$3672$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$June$2003$101$13$1256$8419$7027$Washington, DC: Washington Dulles International
IAH$June$2003$91$12$2601$15551$12686$Houston, TX: George Bush Intercontinental/Houston
JFK$June$2003$24$11$1046$5778$4695$New York, NY: John F. Kennedy International
LAS$June$2003$39$12$1893$11759$9821$Las Vegas, NV: McCarran International
LAX$June$2003$101$12$2571$18462$15780$Los Angeles, CA: Los Angeles International
LGA$June$2003$121$11$1604$8908$7161$New York, NY: LaGuardia
MCO$June$2003$9$12$1388$7617$6211$Orlando, FL: Orlando International
MDW$June$2003$47$9$951$7061$6057$Chicago, IL: Chicago Midway International
MIA$June$2003$28$11$1105$4900$3745$Miami, FL: Miami International
MSP$June$2003$101$11$1678$12194$10404$Minneapolis, MN: Minneapolis-St Paul International
ORD$June$2003$261$12$4899$30195$24997$Chicago, IL: Chicago O'Hare International
PDX$June$2003$17$9$684$4746$4040$Portland, OR: Portland International
PHL$June$2003$83$12$2049$9069$6917$Philadelphia, PA: Philadelphia International
PHX$June$2003$57$12$1783$14008$12158$Phoenix, AZ: Phoenix Sky Harbor International
SAN$June$2003$20$12$1052$6851$5775$San Diego, CA: San Diego International
SEA$June$2003$63$12$1516$9246$7658$Seattle, WA: Seattle/Tacoma International
SFO$June$2003$83$11$1880$10183$8211$San Francisco, CA: San Francisco International
SLC$June$2003$34$10$1057$10582$9491$Salt Lake City, UT: Salt Lake City International
TPA$June$2003$12$11$1122$5401$4256$Tampa, FL: Tampa International
ATL$July$2003$484$11$7452$30875$22868$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$July$2003$226$14$1710$9972$8033$Boston, MA: Logan International
BWI$July$2003$57$11$1679$8611$6855$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$July$2003$163$11$1895$8965$6883$Charlotte, NC: Charlotte Douglas International
DCA$July$2003$181$13$1260$6695$5241$Washington, DC: Ronald Reagan Washington National
DEN$July$2003$71$13$1753$12702$10869$Denver, CO: Denver International
DFW$July$2003$274$13$5003$28323$22982$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$July$2003$175$12$1891$12192$10104$Detroit, MI: Detroit Metro Wayne County
EWR$July$2003$285$13$2917$13058$9797$Newark, NJ: Newark Liberty International
FLL$July$2003$19$11$1041$4846$3785$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$July$2003$217$13$1567$8788$6990$Washington, DC: Washington Dulles International
IAH$July$2003$90$12$3031$16467$13269$Houston, TX: George Bush Intercontinental/Houston
JFK$July$2003$32$11$1082$6205$5067$New York, NY: John F. Kennedy International
LAS$July$2003$73$13$1998$12206$10083$Las Vegas, NV: McCarran International
LAX$July$2003$145$12$2380$19295$16760$Los Angeles, CA: Los Angeles International
LGA$July$2003$285$11$1934$9294$7012$New York, NY: LaGuardia
MCO$July$2003$19$12$1834$8026$6163$Orlando, FL: Orlando International
MDW$July$2003$62$9$1531$7299$5655$Chicago, IL: Chicago Midway International
MIA$July$2003$44$12$1216$5126$3849$Miami, FL: Miami International
MSP$July$2003$141$11$1930$12850$10766$Minneapolis, MN: Minneapolis-St Paul International
ORD$July$2003$1258$12$7259$31345$22693$Chicago, IL: Chicago O'Hare International
PDX$July$2003$25$9$716$5016$4273$Portland, OR: Portland International
PHL$July$2003$198$12$2257$9352$6876$Philadelphia, PA: Philadelphia International
PHX$July$2003$96$12$1909$14410$12378$Phoenix, AZ: Phoenix Sky Harbor International
SAN$July$2003$34$12$1155$7177$5974$San Diego, CA: San Diego International
SEA$July$2003$82$12$1654$9992$8251$Seattle, WA: Seattle/Tacoma International
SFO$July$2003$79$11$1464$10743$9192$San Francisco, CA: San Francisco International
SLC$July$2003$58$10$1093$10944$9782$Salt Lake City, UT: Salt Lake City International
TPA$July$2003$18$11$1135$5614$4452$Tampa, FL: Tampa International
ATL$August$2003$364$11$7829$31305$23056$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$August$2003$292$14$2256$9933$7370$Boston, MA: Logan International
BWI$August$2003$66$11$1931$8636$6598$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$August$2003$189$11$1882$8948$6841$Charlotte, NC: Charlotte Douglas International
DCA$August$2003$262$13$1554$6743$4886$Washington, DC: Ronald Reagan Washington National
DEN$August$2003$79$12$1582$12792$11122$Denver, CO: Denver International
DFW$August$2003$466$13$4951$27956$22370$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$August$2003$412$12$2096$12180$9620$Detroit, MI: Detroit Metro Wayne County
EWR$August$2003$431$13$3881$13022$8599$Newark, NJ: Newark Liberty International
FLL$August$2003$36$11$1220$4825$3555$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$August$2003$190$13$1813$8758$6715$Washington, DC: Washington Dulles International
IAH$August$2003$104$12$2291$15985$13522$Houston, TX: George Bush Intercontinental/Houston
JFK$August$2003$205$11$1717$6227$4239$New York, NY: John F. Kennedy International
LAS$August$2003$70$12$1884$12257$10293$Las Vegas, NV: McCarran International
LAX$August$2003$141$12$2333$19253$16770$Los Angeles, CA: Los Angeles International
LGA$August$2003$597$11$2465$9302$6158$New York, NY: LaGuardia
MCO$August$2003$48$13$1878$7988$6032$Orlando, FL: Orlando International
MDW$August$2003$77$9$1152$7277$6035$Chicago, IL: Chicago Midway International
MIA$August$2003$97$13$1385$5158$3663$Miami, FL: Miami International
MSP$August$2003$182$11$1724$12887$10975$Minneapolis, MN: Minneapolis-St Paul International
ORD$August$2003$941$12$6236$31121$23806$Chicago, IL: Chicago O'Hare International
PDX$August$2003$26$9$693$4972$4249$Portland, OR: Portland International
PHL$August$2003$242$13$2590$9390$6527$Philadelphia, PA: Philadelphia International
PHX$August$2003$117$12$1942$14357$12284$Phoenix, AZ: Phoenix Sky Harbor International
SAN$August$2003$27$12$1062$7199$6105$San Diego, CA: San Diego International
SEA$August$2003$113$12$1661$10015$8229$Seattle, WA: Seattle/Tacoma International
SFO$August$2003$96$11$1876$10732$8755$San Francisco, CA: San Francisco International
SLC$August$2003$74$10$1271$10999$9626$Salt Lake City, UT: Salt Lake City International
TPA$August$2003$37$12$1129$5502$4317$Tampa, FL: Tampa International
ATL$September$2003$359$11$3936$30377$26049$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$September$2003$257$14$1398$9528$7860$Boston, MA: Logan International
BWI$September$2003$205$11$930$8209$7031$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$September$2003$145$11$929$8474$7399$Charlotte, NC: Charlotte Douglas International
DCA$September$2003$354$13$894$6507$5230$Washington, DC: Ronald Reagan Washington National
DEN$September$2003$50$13$900$12076$11120$Denver, CO: Denver International
DFW$September$2003$571$13$2562$27045$23815$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$September$2003$144$12$1147$11336$10032$Detroit, MI: Detroit Metro Wayne County
EWR$September$2003$596$13$4699$12189$6880$Newark, NJ: Newark Liberty International
FLL$September$2003$35$11$701$4623$3884$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$September$2003$320$13$966$8419$7113$Washington, DC: Washington Dulles International
IAH$September$2003$107$12$1958$15132$13010$Houston, TX: George Bush Intercontinental/Houston
JFK$September$2003$34$11$896$5811$4868$New York, NY: John F. Kennedy International
LAS$September$2003$68$12$1207$11905$10628$Las Vegas, NV: McCarran International
LAX$September$2003$171$12$1496$18196$16520$Los Angeles, CA: Los Angeles International
LGA$September$2003$341$11$1684$8771$6735$New York, NY: LaGuardia
MCO$September$2003$63$12$857$7148$6219$Orlando, FL: Orlando International
MDW$September$2003$70$9$632$7220$6509$Chicago, IL: Chicago Midway International
MIA$September$2003$67$12$784$4732$3871$Miami, FL: Miami International
MSP$September$2003$117$11$1390$11543$10023$Minneapolis, MN: Minneapolis-St Paul International
ORD$September$2003$433$12$4889$29638$24285$Chicago, IL: Chicago O'Hare International
PDX$September$2003$44$9$428$4617$4144$Portland, OR: Portland International
PHL$September$2003$206$13$1806$8947$6902$Philadelphia, PA: Philadelphia International
PHX$September$2003$146$12$1138$13664$12372$Phoenix, AZ: Phoenix Sky Harbor International
SAN$September$2003$48$12$584$6888$6250$San Diego, CA: San Diego International
SEA$September$2003$86$12$972$8786$7712$Seattle, WA: Seattle/Tacoma International
SFO$September$2003$65$11$1371$9907$8468$San Francisco, CA: San Francisco International
SLC$September$2003$54$10$730$10553$9769$Salt Lake City, UT: Salt Lake City International
TPA$September$2003$34$11$629$5198$4535$Tampa, FL: Tampa International
ATL$October$2003$189$11$5188$31787$26398$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$October$2003$124$14$1284$9960$8543$Boston, MA: Logan International
BWI$October$2003$42$11$1050$8618$7513$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$October$2003$54$11$850$9116$8210$Charlotte, NC: Charlotte Douglas International
